lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
5,Modern CNN,5  - Modern CNN.pptx,47,1×1 Convolution as a Bottleneck,"1×1 Convolution as a Bottleneck
Problem:
5×5 convolution is expensive:
Solution:
Reduce channels first using 1×1:
Then apply 5×5:
47
Interpretation:
1×1 convolution performs channel compression before expensive spatial filtering.
This is the real efficiency trick.
If
Computation drops dramatically."
5,Modern CNN,5  - Modern CNN.pptx,48,Inception = Parallel Branches + Channel Concatenation,"Inception = Parallel Branches + Channel Concatenation
48
We compute multiple transformations in parallel:
1×1
3×3
5×5
Pooling
Then concatenate along the channel dimension
Why Concatenation?
Preserves information from all scales
Increases feature diversity
Expands width without increasing depth
Key idea:
Inception increases representational capacity by widening the network intelligently."
5,Modern CNN,5  - Modern CNN.pptx,49,Inception V2: Factorizing Large Kernels,"Inception V2: Factorizing Large Kernels
Replace 5×5 with Two 3×3
Original Inception Module
Additional benefits:
Two nonlinearities instead of one
Deeper representation
Better regularization
Key insight: Large receptive fields can be built from smaller kernels more efficiently."
5,Modern CNN,5  - Modern CNN.pptx,50,Inception V2: Asymmetric Factorization,"Inception V2: Asymmetric Factorization
factorize
convolutions of filter size
nxn
to a
combination
of
1xn and nx1
convolutions.
Interpretation:
Separate horizontal and vertical filtering.
Architectural principle:
Spatial filtering can be decomposed without losing receptive field size.
Efficiency comes from structural factorization, not just making networks smaller."
5,Modern CNN,5  - Modern CNN.pptx,51,MobileNet (2017): Accuracy Under Constraint,"MobileNet
(2017): Accuracy Under Constraint
ResNet
solved optimization.
New question: How do we maximize accuracy per FLOP?
Target environments:
Mobile devices
Edge computing
Real-time inference
Low-power hardware
Core idea: Use
depthwise
separable convolution everywhere
51"
5,Modern CNN,5  - Modern CNN.pptx,52,Depthwise Separable Convolution,"Depthwise
Separable Convolution
Standard convolution:
52
Depthwise
separable convolution:
MobileNet
= Efficiency through structural factorization.
Not:
Deeper
Wider
Bigger
But: Smarter convolution."
5,Modern CNN,5  - Modern CNN.pptx,53,DenseNet (2017): Every Layer Connects to All Previous Layers,"DenseNet
(2017): Every Layer Connects to All Previous Layers
53
Concatenate output of a layer to all successive layers
ResNet
:
DenseNet
:
Key difference:
ResNet
→ additive reuse
DenseNet
→ concatenative reuse
[⋅] = channel-wise concatenation
+ = element-wise addition
Same number of channels
Element-wise addition
Features are blended (combined by summation)
Earlier representations are modified, not explicitly preserved
Number of channels increases
Channel-wise concatenation
All previous features are explicitly preserved
Representation grows over depth
ResNet
= refinement
DenseNet
= accumulation"
5,Modern CNN,5  - Modern CNN.pptx,54,DenseNet: Why Concatenation?,"DenseNet
: Why Concatenation?
Each layer receives:
Raw input
Low-level edges
Mid-level textures
High-level parts
All previous representations are preserved.
Benefits:
Strong gradient flow
No feature overwriting
Encourages feature reuse
Improves parameter efficiency
Interpretation:
DenseNet
eliminates redundant relearning.
54"
5,Modern CNN,5  - Modern CNN.pptx,55,DenseNet: Growth Rate Concept,"DenseNet
: Growth Rate Concept
55"
5,Modern CNN,5  - Modern CNN.pptx,56,Why DenseNet Improves Gradient Flow,"Why
DenseNet
Improves Gradient Flow
Because:
Path length from layer
L
to output is 1 via concatenation.
There are short paths from:
Any early layer → output.
This mitigates vanishing gradients even more strongly than
ResNet
.
ResNet
: Gradient flows through addition.
DenseNet
: Gradient flows through direct concatenation paths.
56"
5,Modern CNN,5  - Modern CNN.pptx,57,Why DenseNet Can Use Fewer Parameters,"Why
DenseNet
Can Use Fewer Parameters
Intuition:
In
ResNet
:
Features may be re-learned
Information gets overwritten
In
DenseNet
:
Earlier features are preserved
Later layers reuse instead of recompute
This reduces redundancy.
Even though channel count grows,
each layer has small width (growth rate k).
57"
5,Modern CNN,5  - Modern CNN.pptx,58,DenseNet: Summary,"DenseNet
: Summary
VGG: No explicit
reuse
ResNet
: Additive
reuse
DenseNet
:
Concatenative
reuse
Maximizes feature reuse.
58
DenseNet
contributes:
Direct layer-to-layer connections
Linear feature growth (growth rate k)
Strong gradient flow
Reduced redundancy
Improved parameter efficiency
DenseNet
extends the idea of residual learning into full feature preservation."
5,Modern CNN,5  - Modern CNN.pptx,59,How Should We Scale CNNs?,"How Should We Scale CNNs?
After
MobileNet
, we can make networks:
Deeper
Wider
Higher resolution
But how should we scale?
59
Naive strategies:
Only increase depth
Only increase width
Only increase input resolution
Empirical observation: Unbalanced scaling wastes computation
Depth
= number of layers
Width
= number of channels per layer.
Resolution
= input image size."
5,Modern CNN,5  - Modern CNN.pptx,60,Why Naive Scaling Fails,"Why Naive Scaling Fails
If we increase:
Depth only:
More abstraction
But bottlenecked by narrow layers
Width only:
More capacity
But shallow feature hierarchy
Resolution only:
More spatial detail
But insufficient representational power
Scaling one dimension alone leads to diminishing returns.
60"
5,Modern CNN,5  - Modern CNN.pptx,61,"Compound Scaling: Scaling Depth, Width, and Resolution Together","Compound Scaling: Scaling Depth, Width, and Resolution Together
EfficientNet
proposes:
Scale all dimensions together:
61
Subject to:
Why squared terms?
Depth → linear
Width → quadratic (affects input & output channels)
Resolution → quadratic (affects spatial area)
Balanced growth prevents representational bottlenecks.
Balanced growth prevents representational bottlenecks."
5,Modern CNN,5  - Modern CNN.pptx,62,EfficientNet Backbone: MBConv Blocks with SE and Swish,"EfficientNet
Backbone:
MBConv
Blocks with SE and Swish
62
EfficientNet
is not a new convolution.
It is a carefully engineered combination of expansion, attention, and smooth activation.
MBConv
Blocks
1×1 expansion
Depthwise
convolution
1×1 projection
Residual connection (if shape matches)
Squeeze-and-Excitation (SE) Blocks
Channel attention
Lightweight
Adaptive feature recalibration
Three Core Components:
EfficientNet
= architectural synergy, not a single innovation."
5,Modern CNN,5  - Modern CNN.pptx,63,Swish Activation,"Swish Activation
Swish is non-monotonic and smooth, unlike
ReLU’s
hard threshold, which can improve gradient flow.
For trivial tasks with simple networks, the benefit of richer activation modeling is limited.
63"
5,Modern CNN,5  - Modern CNN.pptx,64,MBConv: Mobile Inverted Bottleneck Convolution,"MBConv
: Mobile Inverted Bottleneck Convolution
64
Why “Inverted”?
Traditional bottleneck (
ResNet
):
Compress → Conv → Expand
MBConv
:
Expand →
Depthwise
→ Compress"
5,Modern CNN,5  - Modern CNN.pptx,65,Squeeze-and-Excitation (SE): Channel Attention Mechanism,"Squeeze-and-Excitation (SE): Channel Attention Mechanism
65
Step 1: Squeeze (Global Context)
Produces one scalar per channel.
Step 2: Excitation (Learn Channel Importance)
Small MLP:
Outputs channel weights in (0,1).
Step 3 — Reweight
Important channels amplified.
Less useful channels suppressed.
Why SE Matters
Adds adaptive feature selection
Minimal computational overhead
Improves accuracy significantly"
5,Modern CNN,5  - Modern CNN.pptx,66,EfficientNet Family,"EfficientNet
Family
EfficientNet-B0 → B7
Same architecture pattern
Scaled using compound coefficient 𝜙
Example trend:
B0 → baseline
B1 → slightly deeper/wider/higher resolution
...
B7 → much larger but balanced
66"
5,Modern CNN,5  - Modern CNN.pptx,67,Modern CNN Design Principles,"Modern CNN Design Principles
From 1998 → Now:
Convolution exploits structure
Depth builds hierarchy
Residual connections enable optimization
BatchNorm
stabilizes training
Global pooling reduces parameters
Factorization reduces computation
Compound scaling balances capacity
67
Modern CNNs are optimized computational systems balancing representation, optimization, and hardware efficiency."
5,Modern CNN,5  - Modern CNN.pptx,68,CNN Evolution,"CNN Evolution
LeNet → Feature Learning
AlexNet
→ Scale
VGG → Depth
ResNet
→ Optimization
MobileNet
→ Efficiency
EfficientNet
→ Scalable Efficiency
Modern networks optimize:
Representation
Optimization
Computation
Deployment
68"
5,Modern CNN,5  - Modern CNN.pptx,69,Modern Objective Function,"Modern Objective Function
Old goal:
Modern goal:
Deep learning moved from pure theory
to
Systems engineering.
69"
